attribution_id,user_id,campaign_id,touchpoint_date,touchpoint_type,platform,device,attribution_model,attribution_weight,converted,conversion_value
ATTR00000001,USR00004422,CMP000033,2025-03-19,Impression,Google Ads,Web Browser,Time Decay,1.0,False,0
ATTR00000002,USR00008954,CMP000081,2025-03-29,Impression,YouTube,Smart TV,Last Touch,0.53,False,0
ATTR00000003,USR00001453,CMP000096,2024-10-24,View,Facebook,Smart TV,Linear,0.5,False,0
ATTR00000004,USR00002307,CMP000040,2024-12-05,Click,Facebook,Smart TV,Linear,0.82,False,13.13
ATTR00000005,USR00003548,CMP000079,2024-11-21,Click,TikTok,Smart TV,Linear,0.64,False,0
ATTR00000006,USR00006831,CMP000012,2025-01-22,Impression,TikTok,Gaming Console,Time Decay,0.73,False,0
ATTR00000007,USR00005998,CMP000015,2025-01-26,Click,Instagram,Tablet,First Touch,0.94,False,19.18
ATTR00000008,USR00003900,CMP000064,2025-04-03,Impression,YouTube,Mobile,First Touch,0.87,False,0
ATTR00000009,USR00002387,CMP000093,2024-07-17,View,Twitter,Mobile,First Touch,0.11,False,0
ATTR00000010,USR00005531,CMP000006,2024-11-23,View,TikTok,Tablet,First Touch,0.46,False,0
ATTR00000011,USR00007690,CMP000073,2024-10-17,Impression,TikTok,Mobile,Time Decay,0.46,False,0
ATTR00000012,USR00006389,CMP000006,2024-11-24,View,Programmatic,Web Browser,Last Touch,0.76,False,0
ATTR00000013,USR00004666,CMP000057,2025-03-23,View,Instagram,Tablet,First Touch,0.83,False,0
ATTR00000014,USR00009423,CMP000068,2025-06-01,Impression,Programmatic,Mobile,Last Touch,0.65,False,0
ATTR00000015,USR00001662,CMP000039,2025-05-08,View,Facebook,Smart TV,Linear,0.17,False,0
ATTR00000016,USR00002685,CMP000039,2025-05-11,View,Google Ads,Smart TV,Last Touch,0.42,False,0
ATTR00000017,USR00002717,CMP000035,2025-03-02,View,YouTube,Gaming Console,Last Touch,0.65,False,0
ATTR00000018,USR00004641,CMP000024,2025-04-17,Click,TikTok,Tablet,Linear,0.55,True,0
ATTR00000019,USR00007925,CMP000022,2025-06-25,Click,Google Ads,Smart TV,Time Decay,0.2,False,0
ATTR00000020,USR00007928,CMP000044,2025-02-17,View,Twitter,Smart TV,Last Touch,0.72,False,22.87
ATTR00000021,USR00000305,CMP000073,2024-11-08,View,Programmatic,Mobile,Last Touch,0.31,False,0
ATTR00000022,USR00009767,CMP000036,2024-12-09,Click,YouTube,Smart TV,Linear,0.32,False,0
ATTR00000023,USR00008849,CMP000085,2025-03-02,Impression,Programmatic,Gaming Console,Time Decay,0.62,False,0
ATTR00000024,USR00000892,CMP000074,2024-09-18,View,YouTube,Web Browser,First Touch,0.45,False,0
ATTR00000025,USR00006050,CMP000053,2024-12-20,Click,TikTok,Web Browser,Time Decay,0.59,False,0
ATTR00000026,USR00009170,CMP000092,2024-11-05,View,YouTube,Smart TV,Linear,0.13,False,18.64
ATTR00000027,USR00000617,CMP000079,2024-11-20,Click,Google Ads,Smart TV,Linear,0.67,False,0
ATTR00000028,USR00002729,CMP000060,2024-09-20,View,Twitter,Smart TV,Linear,0.55,False,0
ATTR00000029,USR00006066,CMP000031,2024-11-14,Click,Google Ads,Smart TV,Last Touch,0.14,False,0
ATTR00000030,USR00007445,CMP000084,2024-11-22,View,TikTok,Tablet,Time Decay,0.61,False,0
ATTR00000031,USR00008144,CMP000092,2024-10-30,Click,Google Ads,Gaming Console,Time Decay,0.77,False,0
ATTR00000032,USR00009008,CMP000057,2025-03-07,View,Google Ads,Streaming Device,Last Touch,0.77,False,0
ATTR00000033,USR00000928,CMP000077,2024-12-28,Click,Twitter,Mobile,Last Touch,0.36,False,0
ATTR00000034,USR00009205,CMP000042,2025-02-02,Click,YouTube,Smart TV,Linear,0.54,False,0
ATTR00000035,USR00008305,CMP000080,2025-01-17,View,YouTube,Web Browser,Time Decay,0.17,False,0
ATTR00000036,USR00004024,CMP000078,2025-06-09,View,Instagram,Web Browser,Last Touch,0.46,True,0
ATTR00000037,USR00006104,CMP000067,2025-01-04,View,Instagram,Tablet,Linear,0.22,False,0
ATTR00000038,USR00009556,CMP000095,2024-08-17,View,Google Ads,Mobile,First Touch,0.15,False,0
ATTR00000039,USR00006463,CMP000031,2024-11-24,Click,Facebook,Web Browser,Linear,0.25,False,0
ATTR00000040,USR00000815,CMP000094,2025-01-23,Click,Instagram,Smart TV,Time Decay,0.9,False,0
ATTR00000041,USR00002314,CMP000059,2025-02-04,View,Twitter,Smart TV,Linear,0.54,False,0
ATTR00000042,USR00006850,CMP000100,2024-08-27,Click,Programmatic,Web Browser,Time Decay,0.29,False,0
ATTR00000043,USR00007669,CMP000006,2024-11-27,Impression,LinkedIn,Tablet,Linear,0.13,False,0
ATTR00000044,USR00006207,CMP000010,2024-12-18,Impression,Instagram,Mobile,Last Touch,0.78,False,0
ATTR00000045,USR00008702,CMP000084,2024-11-13,Impression,Programmatic,Tablet,Linear,0.64,False,0
ATTR00000046,USR00003874,CMP000016,2024-12-09,View,Facebook,Tablet,Last Touch,0.35,False,0
ATTR00000047,USR00004337,CMP000013,2025-06-12,View,Facebook,Tablet,Time Decay,0.42,False,0
ATTR00000048,USR00009444,CMP000029,2024-09-17,Click,Programmatic,Mobile,Last Touch,0.34,False,0
ATTR00000049,USR00008046,CMP000054,2024-11-09,Click,LinkedIn,Web Browser,Linear,0.33,False,0
ATTR00000050,USR00002361,CMP000017,2025-03-22,Impression,YouTube,Smart TV,Last Touch,0.78,False,0
ATTR00000051,USR00009845,CMP000071,2025-05-23,Impression,Twitter,Smart TV,Time Decay,0.54,False,0
ATTR00000052,USR00000329,CMP000026,2024-11-18,Click,Instagram,Mobile,First Touch,0.32,True,0
ATTR00000053,USR00009844,CMP000008,2024-08-27,Impression,Google Ads,Smart TV,Time Decay,0.92,True,0
ATTR00000054,USR00005584,CMP000067,2025-01-02,Impression,Programmatic,Smart TV,Time Decay,0.28,False,0
ATTR00000055,USR00005206,CMP000045,2025-01-14,Click,Twitter,Tablet,First Touch,0.38,False,0
ATTR00000056,USR00007138,CMP000086,2024-08-04,View,YouTube,Tablet,Last Touch,0.41,False,0
ATTR00000057,USR00009130,CMP000053,2024-12-16,Click,LinkedIn,Mobile,Linear,0.47,True,22.55
ATTR00000058,USR00003768,CMP000004,2024-11-07,Click,TikTok,Mobile,Last Touch,0.76,True,0
ATTR00000059,USR00007774,CMP000083,2025-02-19,Impression,Instagram,Smart TV,Linear,0.64,False,0
ATTR00000060,USR00004789,CMP000008,2024-08-18,Impression,YouTube,Smart TV,First Touch,0.57,False,0
ATTR00000061,USR00008389,CMP000035,2025-02-06,View,TikTok,Web Browser,First Touch,0.81,False,17.77
ATTR00000062,USR00006525,CMP000055,2025-01-27,Click,Twitter,Smart TV,Linear,0.47,False,0
ATTR00000063,USR00006970,CMP000043,2025-05-25,Click,LinkedIn,Smart TV,First Touch,0.44,False,0
ATTR00000064,USR00004597,CMP000042,2025-02-14,View,Twitter,Web Browser,Last Touch,0.49,False,0
ATTR00000065,USR00006514,CMP000020,2025-06-25,View,Programmatic,Mobile,Time Decay,0.18,False,0
ATTR00000066,USR00003252,CMP000082,2025-06-10,Click,LinkedIn,Smart TV,Linear,0.26,False,0
ATTR00000067,USR00001266,CMP000075,2025-02-23,Click,LinkedIn,Smart TV,First Touch,0.18,False,0
ATTR00000068,USR00002333,CMP000051,2024-09-09,Impression,Twitter,Gaming Console,Last Touch,0.39,False,0
ATTR00000069,USR00005949,CMP000074,2024-10-03,Impression,Programmatic,Mobile,Time Decay,0.47,False,0
ATTR00000070,USR00009824,CMP000029,2024-09-18,Impression,YouTube,Mobile,First Touch,0.42,False,0
ATTR00000071,USR00003781,CMP000061,2025-06-05,Impression,Facebook,Tablet,First Touch,0.87,False,0
ATTR00000072,USR00007190,CMP000001,2024-07-19,Click,TikTok,Smart TV,Last Touch,0.64,False,0
ATTR00000073,USR00003150,CMP000027,2025-02-27,View,Google Ads,Smart TV,Last Touch,0.8,False,0
ATTR00000074,USR00003068,CMP000054,2024-11-14,View,Twitter,Smart TV,Last Touch,0.22,False,0
ATTR00000075,USR00007888,CMP000071,2025-06-01,Impression,TikTok,Mobile,Last Touch,0.68,False,0
ATTR00000076,USR00005597,CMP000092,2024-11-05,Impression,Programmatic,Tablet,Last Touch,0.65,False,0
ATTR00000077,USR00006261,CMP000094,2025-01-21,View,Programmatic,Tablet,Last Touch,0.64,False,15.58
ATTR00000078,USR00008721,CMP000031,2024-10-31,View,YouTube,Smart TV,First Touch,0.62,False,0
ATTR00000079,USR00001688,CMP000015,2025-02-17,Impression,Facebook,Smart TV,First Touch,0.3,False,0
ATTR00000080,USR00004968,CMP000099,2025-03-05,Impression,Programmatic,Smart TV,First Touch,0.6,True,0
ATTR00000081,USR00005433,CMP000046,2025-06-05,Click,LinkedIn,Tablet,Time Decay,0.2,True,0
ATTR00000082,USR00000979,CMP000012,2025-02-14,Impression,Programmatic,Smart TV,Linear,0.99,False,0
ATTR00000083,USR00001427,CMP000013,2025-05-30,Click,Facebook,Web Browser,Linear,0.74,False,0
ATTR00000084,USR00005374,CMP000013,2025-05-18,View,Twitter,Smart TV,Time Decay,0.38,False,0
ATTR00000085,USR00005339,CMP000019,2024-09-01,Click,LinkedIn,Gaming Console,Time Decay,0.93,False,0
ATTR00000086,USR00004794,CMP000030,2024-08-20,View,Twitter,Tablet,Linear,0.23,False,0
ATTR00000087,USR00009866,CMP000081,2025-03-31,Click,Google Ads,Tablet,Time Decay,0.55,False,0
ATTR00000088,USR00009418,CMP000073,2024-10-23,View,Instagram,Tablet,Linear,0.24,False,0
ATTR00000089,USR00001211,CMP000012,2025-01-19,View,YouTube,Smart TV,Time Decay,0.24,False,0
ATTR00000090,USR00002727,CMP000065,2025-03-03,Click,Programmatic,Web Browser,Time Decay,0.59,False,0
ATTR00000091,USR00002220,CMP000029,2024-09-22,Impression,YouTube,Mobile,Linear,0.97,False,0
ATTR00000092,USR00006157,CMP000004,2024-11-26,View,YouTube,Gaming Console,Time Decay,0.58,False,0
ATTR00000093,USR00000035,CMP000034,2025-05-23,Impression,Programmatic,Web Browser,Linear,0.19,False,0
ATTR00000094,USR00007109,CMP000052,2025-01-03,Impression,YouTube,Web Browser,Time Decay,0.53,False,0
ATTR00000095,USR00000923,CMP000032,2025-05-11,View,TikTok,Mobile,Time Decay,0.52,False,0
ATTR00000096,USR00008762,CMP000049,2025-01-29,Impression,LinkedIn,Smart TV,Time Decay,0.13,False,0
ATTR00000097,USR00003716,CMP000038,2025-05-28,View,YouTube,Mobile,Last Touch,0.49,False,12.46
ATTR00000098,USR00006382,CMP000049,2025-01-20,View,Facebook,Smart TV,Time Decay,0.51,False,0
ATTR00000099,USR00007770,CMP000073,2024-10-20,Impression,Instagram,Tablet,Last Touch,0.6,False,0
ATTR00000100,USR00002589,CMP000056,2025-02-26,Impression,Google Ads,Tablet,Last Touch,0.86,False,0
ATTR00000101,USR00009138,CMP000072,2024-08-21,View,LinkedIn,Mobile,First Touch,0.64,False,0
ATTR00000102,USR00007329,CMP000022,2025-06-21,Impression,YouTube,Mobile,Last Touch,0.61,False,0
ATTR00000103,USR00007529,CMP000057,2025-03-07,Click,Twitter,Tablet,First Touch,0.94,False,0
ATTR00000104,USR00005773,CMP000062,2024-08-06,View,Programmatic,Smart TV,First Touch,0.37,False,0
ATTR00000105,USR00004278,CMP000079,2024-11-03,View,Twitter,Smart TV,First Touch,0.2,False,0
ATTR00000106,USR00008155,CMP000073,2024-11-11,Click,YouTube,Smart TV,Time Decay,0.63,False,0
ATTR00000107,USR00000628,CMP000099,2025-02-16,View,Twitter,Tablet,Linear,0.51,False,0
ATTR00000108,USR00006724,CMP000079,2024-11-21,Click,Instagram,Mobile,Last Touch,0.21,False,0
ATTR00000109,USR00009230,CMP000045,2025-01-20,Impression,Programmatic,Streaming Device,Last Touch,0.84,False,0
ATTR00000110,USR00001766,CMP000065,2025-03-05,View,Google Ads,Smart TV,First Touch,0.63,True,0
ATTR00000111,USR00001442,CMP000069,2024-07-17,Click,Google Ads,Mobile,Time Decay,0.68,False,0
ATTR00000112,USR00009924,CMP000069,2024-08-12,Impression,Facebook,Web Browser,Last Touch,0.1,False,0
ATTR00000113,USR00000439,CMP000047,2025-04-30,Click,YouTube,Mobile,Time Decay,0.53,False,0
ATTR00000114,USR00009017,CMP000058,2024-11-13,Click,Google Ads,Tablet,Time Decay,0.16,False,0
ATTR00000115,USR00003223,CMP000023,2025-05-31,Impression,YouTube,Smart TV,First Touch,0.92,False,0
ATTR00000116,USR00009736,CMP000016,2024-11-17,Click,Instagram,Smart TV,Time Decay,0.74,False,0
ATTR00000117,USR00001718,CMP000088,2025-01-04,Impression,YouTube,Mobile,Time Decay,0.83,False,0
ATTR00000118,USR00004234,CMP000003,2024-09-30,Click,Facebook,Smart TV,First Touch,0.3,False,0
ATTR00000119,USR00005095,CMP000094,2025-01-28,Impression,Facebook,Mobile,Linear,0.5,True,0
ATTR00000120,USR00000577,CMP000050,2024-11-09,Impression,YouTube,Web Browser,Time Decay,0.56,False,0
ATTR00000121,USR00005288,CMP000007,2024-09-27,Click,Programmatic,Tablet,Time Decay,0.93,False,0
ATTR00000122,USR00003053,CMP000098,2025-01-31,View,Instagram,Tablet,Linear,0.19,False,0
ATTR00000123,USR00004972,CMP000053,2024-12-21,Click,TikTok,Mobile,Time Decay,0.21,False,0
ATTR00000124,USR00009285,CMP000054,2024-11-11,View,YouTube,Mobile,Time Decay,0.6,True,10.13
ATTR00000125,USR00003888,CMP000086,2024-07-21,Impression,Twitter,Mobile,First Touch,0.71,False,0
ATTR00000126,USR00003273,CMP000064,2025-04-03,View,YouTube,Mobile,Last Touch,0.81,False,0
ATTR00000127,USR00002955,CMP000050,2024-10-27,Click,LinkedIn,Web Browser,Time Decay,0.39,True,0
ATTR00000128,USR00001155,CMP000068,2025-05-20,Impression,Programmatic,Streaming Device,Time Decay,0.27,False,0
ATTR00000129,USR00008839,CMP000058,2024-11-30,Impression,TikTok,Tablet,First Touch,0.67,False,0
ATTR00000130,USR00007757,CMP000073,2024-11-09,Impression,Programmatic,Web Browser,Last Touch,0.39,False,0
ATTR00000131,USR00001014,CMP000037,2024-09-21,Click,TikTok,Mobile,Linear,0.36,True,0
ATTR00000132,USR00003800,CMP000087,2024-11-06,View,Programmatic,Tablet,Linear,0.48,False,0
ATTR00000133,USR00004132,CMP000039,2025-05-26,Click,TikTok,Smart TV,Last Touch,0.82,False,0
ATTR00000134,USR00000047,CMP000059,2025-02-15,Impression,TikTok,Tablet,Time Decay,0.28,False,12.82
ATTR00000135,USR00003974,CMP000082,2025-06-06,Impression,YouTube,Smart TV,First Touch,0.11,True,14.34
ATTR00000136,USR00006908,CMP000044,2025-02-13,Click,TikTok,Gaming Console,Last Touch,0.29,False,0
ATTR00000137,USR00007252,CMP000076,2025-02-18,Impression,Instagram,Smart TV,Linear,0.71,False,0
ATTR00000138,USR00002257,CMP000014,2025-02-15,Click,Instagram,Web Browser,Time Decay,0.79,False,0
ATTR00000139,USR00008787,CMP000024,2025-04-09,Impression,LinkedIn,Web Browser,Last Touch,0.79,False,0
ATTR00000140,USR00008271,CMP000063,2024-12-05,Impression,LinkedIn,Smart TV,Linear,0.29,False,0
ATTR00000141,USR00007831,CMP000077,2025-01-14,View,TikTok,Mobile,Last Touch,0.39,False,0
ATTR00000142,USR00001557,CMP000072,2024-09-04,View,Facebook,Smart TV,Time Decay,0.51,True,0
ATTR00000143,USR00003444,CMP000024,2025-04-18,View,Instagram,Mobile,First Touch,0.5,True,0
ATTR00000144,USR00006279,CMP000015,2025-02-15,Click,Instagram,Streaming Device,First Touch,0.77,False,0
ATTR00000145,USR00005371,CMP000038,2025-05-24,Impression,Instagram,Gaming Console,Linear,0.11,False,0
ATTR00000146,USR00009270,CMP000026,2024-11-13,Click,Instagram,Tablet,Time Decay,0.59,False,0
ATTR00000147,USR00003144,CMP000061,2025-06-26,Impression,LinkedIn,Gaming Console,Linear,0.93,False,19.1
ATTR00000148,USR00007557,CMP000007,2024-09-17,Impression,LinkedIn,Smart TV,Last Touch,0.61,False,0
ATTR00000149,USR00008527,CMP000035,2025-02-21,View,Instagram,Tablet,Time Decay,0.33,False,0
ATTR00000150,USR00009873,CMP000070,2025-04-12,Click,YouTube,Smart TV,Linear,0.55,False,0
ATTR00000151,USR00007468,CMP000024,2025-04-22,Click,Google Ads,Web Browser,Linear,0.17,False,0
ATTR00000152,USR00006515,CMP000052,2025-01-07,Click,LinkedIn,Smart TV,Last Touch,0.95,False,0
ATTR00000153,USR00009286,CMP000031,2024-11-02,Click,Google Ads,Smart TV,Last Touch,0.44,False,0
ATTR00000154,USR00006403,CMP000085,2025-02-20,View,YouTube,Streaming Device,First Touch,0.39,False,0
ATTR00000155,USR00001350,CMP000041,2024-11-18,View,Instagram,Mobile,Time Decay,0.56,True,13.43
ATTR00000156,USR00007632,CMP000018,2024-10-16,Impression,LinkedIn,Smart TV,Time Decay,0.59,False,0
ATTR00000157,USR00000922,CMP000022,2025-06-15,Click,Facebook,Tablet,Time Decay,0.31,False,0
ATTR00000158,USR00002367,CMP000027,2025-03-04,Click,Instagram,Mobile,Last Touch,0.95,True,0
ATTR00000159,USR00008850,CMP000054,2024-11-27,Click,TikTok,Web Browser,Linear,0.64,False,0
ATTR00000160,USR00000458,CMP000070,2025-05-03,Click,YouTube,Smart TV,Last Touch,0.94,False,0
ATTR00000161,USR00005858,CMP000022,2025-06-08,Impression,LinkedIn,Web Browser,First Touch,0.81,False,0
ATTR00000162,USR00007392,CMP000011,2024-08-06,Impression,Instagram,Tablet,Linear,0.44,False,0
ATTR00000163,USR00007030,CMP000064,2025-03-15,Click,Programmatic,Web Browser,Time Decay,0.17,False,0
ATTR00000164,USR00008981,CMP000008,2024-09-04,Click,Instagram,Mobile,Last Touch,0.8,True,0
ATTR00000165,USR00007665,CMP000017,2025-03-19,View,Instagram,Smart TV,First Touch,0.8,False,0
ATTR00000166,USR00004279,CMP000094,2025-02-14,View,Programmatic,Streaming Device,First Touch,0.18,False,0
ATTR00000167,USR00001079,CMP000039,2025-05-12,View,Twitter,Streaming Device,First Touch,0.47,False,0
ATTR00000168,USR00006590,CMP000060,2024-09-15,View,Instagram,Smart TV,Time Decay,0.9,False,0
ATTR00000169,USR00005583,CMP000066,2025-03-06,Impression,TikTok,Gaming Console,Last Touch,0.43,True,0
ATTR00000170,USR00003716,CMP000037,2024-09-21,Click,Google Ads,Mobile,Linear,0.91,False,0
ATTR00000171,USR00009512,CMP000038,2025-05-29,Click,LinkedIn,Mobile,First Touch,0.29,True,0
ATTR00000172,USR00002720,CMP000088,2025-01-13,Click,Google Ads,Smart TV,Time Decay,0.21,False,0
ATTR00000173,USR00006868,CMP000053,2024-12-22,View,TikTok,Web Browser,First Touch,0.39,False,0
ATTR00000174,USR00001816,CMP000030,2024-08-29,Click,Programmatic,Tablet,Linear,0.63,False,0
ATTR00000175,USR00008088,CMP000059,2025-02-12,View,Programmatic,Web Browser,First Touch,0.51,False,0
ATTR00000176,USR00008970,CMP000026,2024-11-17,Impression,Google Ads,Mobile,Time Decay,0.22,False,0
ATTR00000177,USR00002560,CMP000082,2025-06-03,Impression,Facebook,Web Browser,First Touch,0.39,False,0
ATTR00000178,USR00008720,CMP000090,2025-01-22,Impression,Instagram,Mobile,Time Decay,0.54,False,19.37
ATTR00000179,USR00004345,CMP000016,2024-12-01,Click,Google Ads,Gaming Console,Time Decay,0.33,False,0
ATTR00000180,USR00000111,CMP000055,2025-02-02,Impression,Instagram,Smart TV,Time Decay,0.23,False,0
ATTR00000181,USR00003005,CMP000029,2024-09-12,View,Google Ads,Tablet,Time Decay,0.2,True,0
