performance_id,campaign_id,date,platform,impressions,clicks,click_through_rate,views,view_rate,spend,cost_per_click,cost_per_thousand_impressions,conversions,conversion_rate,signups,subscriptions,revenue_generated
PERF0000000001,CMP000090,2025-01-13,TikTok,165758,1870,1.13,0,0,1950.32,1.04,11.77,51,2.73,6,4,78.64
PERF0000000002,CMP000024,2025-04-05,YouTube,392241,6709,1.71,0,0,25230.08,3.76,64.32,656,9.78,134,82,852.58
PERF0000000003,CMP000025,2024-08-05,YouTube,388411,6671,1.72,119270,30.71,19369.97,2.9,49.87,231,3.46,68,49,918.94
PERF0000000004,CMP000017,2025-04-05,Programmatic,117570,5279,4.49,69017,58.7,13790.26,2.61,117.29,262,4.96,35,18,398.97
PERF0000000005,CMP000062,2024-07-21,Facebook,215086,3719,1.73,0,0,11516.24,3.1,53.54,266,7.15,34,28,623.78
PERF0000000006,CMP000011,2024-08-02,Facebook,595181,24151,4.06,358988,60.32,98012.82,4.06,164.68,732,3.03,149,101,1534.0
PERF0000000007,CMP000076,2025-02-17,TikTok,303125,6221,2.05,0,0,20176.81,3.24,66.56,476,7.65,476,323,3843.39
PERF0000000008,CMP000028,2025-06-07,Facebook,87343,960,1.1,0,0,2864.61,2.98,32.8,23,2.4,4,3,46.71
PERF0000000009,CMP000005,2024-12-17,TikTok,751296,16009,2.13,548298,72.98,13132.33,0.82,17.48,496,3.1,496,201,4033.56
PERF0000000010,CMP000076,2025-02-25,YouTube,227895,1793,0.79,0,0,2710.38,1.51,11.89,41,2.29,41,16,175.7
PERF0000000011,CMP000008,2024-08-16,TikTok,316974,7519,2.37,0,0,23018.91,3.06,72.62,270,3.59,33,25,469.66
PERF0000000012,CMP000035,2025-02-17,Programmatic,234511,1644,0.7,0,0,1116.89,0.68,4.76,80,4.87,13,7,71.88
PERF0000000013,CMP000087,2024-11-02,Google Ads,405954,8852,2.18,0,0,15161.7,1.71,37.35,120,1.36,120,72,1121.54
PERF0000000014,CMP000084,2024-11-13,TikTok,100152,2996,2.99,0,0,7374.6,2.46,73.63,249,8.31,73,50,735.34
PERF0000000015,CMP000042,2025-02-21,Facebook,454699,4101,0.9,0,0,9647.2,2.35,21.22,223,5.44,223,126,1839.14
PERF0000000016,CMP000098,2025-02-16,Google Ads,243459,1753,0.72,0,0,2867.55,1.64,11.78,35,2.0,8,6,123.23
PERF0000000017,CMP000001,2024-07-31,Programmatic,221660,1408,0.64,0,0,3988.83,2.83,18.0,92,6.53,18,12,116.55
PERF0000000018,CMP000035,2025-02-18,Instagram,491367,5995,1.22,0,0,26760.54,4.46,54.46,321,5.35,33,24,484.33
PERF0000000019,CMP000091,2024-11-30,TikTok,293798,1569,0.53,0,0,3665.12,2.34,12.47,47,3.0,12,6,133.49
PERF0000000020,CMP000083,2025-02-15,Instagram,266292,7540,2.83,0,0,13672.86,1.81,51.35,554,7.35,554,258,4062.21
PERF0000000021,CMP000061,2025-06-09,Programmatic,294021,2533,0.86,0,0,3439.17,1.36,11.7,161,6.36,161,96,1046.51
PERF0000000022,CMP000009,2025-02-11,LinkedIn,183192,5194,2.84,0,0,14464.35,2.78,78.96,435,8.38,68,42,722.7
PERF0000000023,CMP000085,2025-02-23,Instagram,239119,4415,1.85,0,0,9064.25,2.05,37.91,263,5.96,54,36,485.82
PERF0000000024,CMP000025,2024-08-18,YouTube,609573,15433,2.53,443773,72.8,36244.21,2.35,59.46,596,3.86,115,99,1418.4
PERF0000000025,CMP000085,2025-03-05,Instagram,264694,7708,2.91,0,0,8232.98,1.07,31.1,746,9.68,124,66,1374.16
PERF0000000026,CMP000013,2025-06-02,Programmatic,13046,300,2.3,0,0,703.47,2.34,53.92,20,6.67,2,1,22.56
PERF0000000027,CMP000044,2025-03-04,LinkedIn,345701,2422,0.7,0,0,4792.04,1.98,13.86,171,7.06,171,87,1944.27
PERF0000000028,CMP000081,2025-04-01,Programmatic,924759,29259,3.16,562928,60.87,45540.64,1.56,49.25,2094,7.16,329,194,1989.53
PERF0000000029,CMP000013,2025-06-10,Facebook,237615,2176,0.92,0,0,4020.37,1.85,16.92,27,1.24,4,2,28.02
PERF0000000030,CMP000056,2025-02-24,YouTube,283484,4337,1.53,0,0,15474.86,3.57,54.59,113,2.61,15,11,157.8
PERF0000000031,CMP000088,2025-01-01,Programmatic,483585,9468,1.96,0,0,14626.62,1.54,30.25,638,6.74,122,93,2006.45
PERF0000000032,CMP000060,2024-10-12,TikTok,360263,6724,1.87,0,0,5596.91,0.83,15.54,639,9.5,190,117,2627.63
PERF0000000033,CMP000089,2024-11-19,Programmatic,448182,5626,1.26,0,0,28114.14,5.0,62.73,488,8.67,59,38,532.59
PERF0000000034,CMP000038,2025-05-24,TikTok,16502,485,2.94,0,0,1679.09,3.46,101.75,16,3.3,3,2,38.83
PERF0000000035,CMP000007,2024-09-30,Programmatic,441647,12191,2.76,0,0,21795.97,1.79,49.35,998,8.19,220,141,2524.27
